miRNA	d8	d10	d4	d12	d5	d17	d35	d11	d18	d22	d7	d14	d2	d16	d6	d27	d9	d20	d1	d19	d15	d13	d3	d21	d23	d39	d24	d40	d42	d25	d26	d28	d29	d30	d31	d32	d33	d34	m3	m5	m7	d36	d37	d38	d41	m13	d45	d47	d46	d48	m11	d43	m1	m17	m9	d44	m2	m15	m8	m10	m19	m6	m18	m27	m28	m21	m12	m16	m4	m36	m22	m14	m38	m32	m20	m29	m23	m26	m30	m35	m34	m31	m39	m37	m40	m33	m24	m25
hsa-miR-34b-5p	6	3	15	3	1	6	4	2	10	7	6	6	4	0	4	3	3	4	1	3	6	4	3	3	0	2	8	2	8	4	2	5	4	4	9	8	9	4	0	0	0	6	1	9	6	3	6	7	5	12	1	7	0	1	2	9	2	3	4	2	0	2	0	4	2	3	6	7	2	15	8	13	2	2	3	1	16	0	1	7	6	4	11	5	15	9	2	3
hsa-miR-1285-5p	6	1	5	3	3	6	2	2	2	2	0	0	2	3	1	2	14	2	1	0	0	1	2	9	3	2	2	2	2	5	1	4	1	1	1	9	1	1	1	0	2	5	4	3	1	1	1	2	0	3	0	0	0	0	1	1	2	2	0	1	2	1	2	0	0	2	0	1	0	0	0	7	0	2	0	1	8	1	0	2	2	2	1	0	2	4	7	8
hsa-miR-1285-3p	3	10	20	21	4	7	14	6	6	15	10	5	8	12	16	8	19	16	1	11	7	7	9	17	18	14	16	12	6	17	21	13	28	20	6	12	13	18	5	4	7	14	12	11	17	17	5	13	14	11	1	19	5	3	5	30	4	6	10	13	13	7	11	2	8	15	16	18	10	16	15	32	2	4	22	2	21	7	6	3	8	15	3	13	30	11	60	16
hsa-miR-155-5p	44	109	78	96	41	165	100	111	108	94	45	95	32	90	55	91	254	147	30	136	84	130	71	145	54	91	188	78	175	156	117	101	112	113	68	136	84	90	28	30	11	108	111	148	247	14	161	88	172	120	8	181	14	27	9	176	36	12	48	14	37	17	28	8	26	37	48	27	75	133	13	16	28	19	55	8	38	5	20	59	78	8	57	152	120	168	215	21
hsa-miR-431-5p	1	0	8	4	0	2	7	1	1	0	1	0	6	2	1	3	4	3	3	1	0	3	2	4	3	2	3	1	0	1	1	4	1	2	0	1	2	3	0	0	0	6	0	2	6	0	1	1	3	0	0	5	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-431-3p	13	14	22	8	7	15	11	14	5	9	9	22	11	11	6	6	36	21	12	9	12	4	16	15	8	10	7	8	6	12	17	6	14	11	13	6	12	13	0	0	0	9	17	9	7	0	9	9	10	9	1	12	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-532-5p	38	15	33	20	27	40	26	19	23	18	13	25	16	34	32	25	31	39	12	17	12	25	34	24	18	32	37	19	25	48	38	24	37	46	14	29	8	25	15	11	3	13	23	23	25	7	35	17	21	7	7	24	3	11	2	34	10	5	9	5	12	8	3	11	12	8	12	3	8	12	7	11	3	14	8	15	6	8	12	18	9	5	21	17	15	22	21	24
hsa-miR-532-3p	3	2	5	1	2	4	1	4	1	2	2	3	0	0	3	0	2	1	3	0	1	5	5	4	1	1	1	3	0	7	6	2	2	1	1	1	2	0	0	0	0	0	1	4	0	0	2	1	2	1	1	1	0	0	1	2	2	0	0	0	0	0	0	2	6	0	2	2	0	1	1	3	0	0	0	1	1	0	1	0	0	0	1	4	2	9	1	0
hsa-miR-3118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-135b-5p	20	9	13	1	14	17	12	6	17	11	12	4	14	3	10	2	3	15	22	14	5	4	20	18	19	9	24	10	10	3	11	5	11	4	7	8	3	4	0	0	0	4	3	9	15	0	5	3	16	3	0	2	0	1	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135b-3p	2	0	1	1	0	3	1	2	2	3	1	0	0	0	0	1	0	3	0	2	3	0	1	4	3	0	1	1	0	0	0	2	5	0	3	0	1	0	0	0	0	1	0	1	7	0	1	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-18b-3p	10	4	9	8	2	13	6	8	1	10	14	0	5	3	3	4	8	12	4	4	13	3	9	7	3	6	6	4	4	8	2	0	5	1	2	5	0	3	0	1	0	5	3	6	3	1	5	4	4	0	2	6	2	0	2	14	0	2	0	1	0	1	0	0	3	0	3	0	0	0	0	1	1	0	0	0	0	1	2	0	4	2	0	1	1	3	1	1
hsa-miR-18b-5p	27	11	32	24	11	18	7	13	20	26	6	10	19	7	12	8	19	27	8	24	8	6	13	23	12	6	37	11	38	6	10	9	9	11	5	12	8	5	20	39	10	18	8	11	46	15	26	17	36	44	18	20	14	32	14	56	44	10	36	28	26	32	28	24	80	18	58	11	111	71	26	20	7	80	60	40	31	35	147	20	11	33	14	151	62	44	55	101
hsa-miR-29b-1-5p	23	25	75	34	20	29	4	7	20	23	12	30	41	21	23	3	53	37	23	10	16	26	8	25	40	7	31	18	74	17	38	25	35	22	24	32	21	21	7	30	1	18	19	46	99	32	73	18	44	33	4	31	10	5	30	76	18	14	7	46	12	33	12	10	53	7	20	23	9	37	7	20	4	21	14	6	25	20	40	13	17	16	27	6	15	41	33	23
hsa-miR-29b-3p	36	22	36	29	21	41	17	19	45	20	29	20	43	23	21	17	19	32	18	33	20	27	48	40	40	28	44	24	43	24	37	7	30	23	16	16	18	22	3	19	14	38	21	27	61	19	31	23	42	17	1	42	4	6	16	23	6	11	17	11	10	3	3	22	18	5	46	20	25	9	11	35	2	14	9	16	11	7	10	28	20	7	15	19	21	20	16	16
hsa-miR-132-3p	6	3	8	5	6	3	4	2	14	5	3	2	3	2	7	6	15	9	4	14	7	3	11	4	6	1	11	3	10	15	10	5	7	4	9	4	6	4	2	5	1	5	1	5	18	5	7	8	9	13	1	11	1	8	1	9	0	8	3	4	2	1	2	7	13	8	4	0	3	12	4	8	1	3	7	3	3	6	4	3	10	1	10	6	10	11	17	4
hsa-miR-29c-5p	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	3	0	1	4	4	0	5	2	1	0	0	0	0	0	0	2	0	0	1	2	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-29c-3p	6	3	4	2	6	3	5	1	3	0	7	5	4	6	6	0	7	4	0	2	8	1	2	9	10	5	1	3	11	9	4	7	5	13	0	10	0	6	0	1	0	2	6	6	8	1	1	0	6	8	0	6	2	0	0	6	3	1	0	5	1	0	0	3	4	1	6	3	5	7	0	0	2	1	0	1	1	0	4	0	0	3	3	2	1	4	0	7
hsa-miR-345-5p	34	13	26	19	17	17	29	7	14	11	3	12	14	25	15	10	25	35	13	9	12	17	26	15	17	11	40	12	8	30	26	19	42	32	20	28	15	22	4	1	1	40	10	21	19	6	8	5	23	20	3	15	0	6	3	22	5	4	1	7	3	10	0	3	13	2	6	3	0	6	2	6	1	2	4	0	0	2	2	6	8	1	4	10	2	15	8	10
hsa-miR-7-5p	12	17	30	11	16	43	31	23	30	34	29	5	16	13	6	18	72	22	7	40	22	16	29	46	28	42	34	22	58	35	37	27	25	24	13	21	7	15	38	48	57	13	11	13	66	9	24	22	45	18	14	40	20	44	39	53	55	33	25	47	43	47	22	8	29	32	31	9	57	41	23	15	6	53	18	26	38	33	74	19	28	25	21	99	32	44	8	74
hsa-miR-32-5p	2	0	0	0	1	3	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	5	0	4	2	0	4	0	0	0	3	0	0	8	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	2	2	0	0	0	3	0	0	0	0	1	0	0	2	0
hsa-miR-541-5p	4	9	7	6	2	11	6	10	4	1	2	6	3	5	3	4	11	5	1	8	4	10	15	5	4	8	5	7	13	2	4	6	5	6	5	7	7	4	0	0	0	7	22	11	2	0	12	4	5	7	0	22	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-137-5p	1	1	0	0	0	0	0	0	1	1	2	0	1	4	0	0	3	3	0	0	0	0	2	0	0	1	2	3	1	1	1	0	0	1	0	4	1	1	0	0	0	0	1	5	3	0	0	6	2	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-137-3p	15	15	35	25	4	23	7	15	11	22	22	26	12	11	20	13	36	23	16	7	14	18	15	20	27	22	33	21	34	23	29	9	24	28	8	23	34	11	0	0	0	25	20	36	44	0	26	22	33	17	0	16	0	0	0	39	0	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0
hsa-miR-411-5p	7	0	8	6	2	5	1	3	0	9	7	0	12	6	5	1	10	3	3	5	2	9	4	3	7	11	4	3	7	6	3	3	8	4	0	4	5	7	0	0	0	7	3	4	6	0	5	1	2	12	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10401-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-495-3p	15	13	18	16	9	31	18	10	11	6	15	7	31	4	9	8	29	5	20	19	12	7	31	16	14	10	24	7	13	29	18	6	11	21	8	10	11	21	0	0	0	12	11	8	25	0	13	9	30	2	0	14	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6762-5p	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0
hsa-miR-148b-3p	47	54	67	35	38	72	41	39	46	26	40	42	56	36	32	53	98	45	30	58	34	40	75	55	46	39	50	42	46	97	52	39	70	71	29	59	58	40	0	7	3	39	63	60	73	11	41	39	53	31	5	65	3	10	13	89	17	22	2	26	16	0	6	6	6	9	34	12	5	32	11	32	6	5	25	9	4	0	5	9	18	0	15	17	18	34	31	14
hsa-miR-542-5p	2	0	0	0	0	0	0	0	0	0	2	3	0	2	1	0	5	0	0	3	0	0	0	1	1	0	0	0	0	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
hsa-miR-542-3p	4	1	7	2	1	3	1	3	6	4	1	0	3	4	4	0	4	10	7	3	1	2	11	11	1	1	1	2	5	10	1	2	1	0	0	1	1	2	11	1	25	7	3	2	4	6	1	0	1	1	1	0	2	3	4	2	5	6	13	1	3	5	3	0	2	0	9	26	11	4	3	3	0	0	13	3	3	1	0	6	2	4	6	5	3	1	5	6
hsa-miR-591	4	0	0	1	0	0	0	0	3	0	1	1	1	2	0	0	0	0	3	0	0	0	0	5	0	0	1	0	0	1	5	5	1	3	0	2	0	0	3	3	1	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	2	1	5	3	3	1	1	0	4	0	2	4	0	0	2	10	0	3	6	0	12	0	0	1	0	2	0	0	1	6	6	4
hsa-miR-4455	3	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	3	3
hsa-miR-11181-3p	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
hsa-miR-4650-5p	9	1	9	4	1	3	3	6	7	8	11	1	4	3	10	1	2	10	7	1	7	4	16	16	8	13	4	11	0	15	11	6	22	7	2	6	3	5	2	12	8	9	6	4	1	8	3	1	0	1	7	0	5	6	15	0	13	6	13	16	7	9	1	6	15	17	13	1	14	9	12	28	5	8	3	11	6	15	16	12	10	11	14	16	13	26	5	48
hsa-miR-139-5p	13	2	14	4	1	5	1	3	9	4	3	0	5	0	6	2	2	5	3	5	0	1	9	9	1	1	7	1	2	0	1	1	1	0	0	5	2	0	0	0	0	2	2	0	0	0	3	3	3	6	0	9	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-6131	2	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	4	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0
hsa-miR-939-5p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-3606-5p	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-520e-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-3679-5p	4	0	4	1	0	0	0	2	2	0	2	1	2	4	2	2	0	4	0	0	0	0	3	2	1	1	2	0	2	3	0	5	0	0	0	1	0	2	0	0	0	2	0	1	0	1	1	1	0	1	0	4	0	0	0	6	0	0	3	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	1	0	0	0	1	0	1	0	2	1	1	1	1	0
hsa-miR-3135a	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	5	0	1	0	0	0	0	2	2	0	0	5	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-376b-3p	8	9	23	7	5	26	5	11	10	6	5	7	18	1	8	10	8	12	1	5	0	17	15	15	11	6	18	3	10	18	19	6	19	12	3	9	7	5	0	0	0	8	7	6	27	0	7	2	16	8	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-192-5p	3	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	3	0	0	0	0	5	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	3	2	1	1	1	0	0	1	0	3	1	0	3	0	0	3	0	5	0	2	1	0	3	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	5	0	0	0	1	1
hsa-miR-628-5p	4	0	0	2	1	1	0	0	0	2	1	2	0	0	0	0	1	1	2	0	6	0	0	3	1	2	1	2	1	3	0	1	3	2	0	1	1	3	1	1	0	1	3	2	1	0	0	1	1	1	0	1	0	0	1	4	1	2	0	0	0	0	0	1	0	0	1	0	7	2	1	1	0	4	0	1	0	0	3	0	0	0	0	3	2	1	6	3
hsa-miR-3609	17	7	7	16	6	2	9	19	7	8	27	19	6	19	19	10	18	10	1	15	63	15	16	8	12	51	8	12	8	10	15	24	15	26	49	58	14	5	5	4	93	20	11	18	12	6	3	18	10	14	5	11	9	6	6	7	7	16	47	8	4	15	1	3	6	9	13	118	6	2	3	19	0	39	12	119	13	10	106	1	1	54	8	17	8	11	49	11
hsa-miR-4448	12	7	11	9	2	13	0	1	9	6	5	8	7	10	5	10	15	6	6	4	8	6	23	9	12	18	6	7	6	8	5	5	6	6	13	11	9	6	9	8	0	6	10	8	7	5	4	15	5	2	1	6	15	4	7	6	8	0	15	17	0	6	2	4	21	6	9	2	23	11	9	14	0	7	7	0	4	14	10	0	4	12	5	10	14	22	53	32
hsa-miR-299-5p	2	1	4	1	2	11	2	6	3	12	7	3	2	2	2	1	4	10	2	4	2	1	4	3	0	2	3	2	4	1	3	2	6	2	4	3	0	0	0	0	0	2	3	2	15	0	5	1	2	2	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-299-3p	10	2	25	7	10	19	14	9	12	25	22	8	14	11	11	19	17	19	8	22	15	17	23	28	25	7	25	24	10	21	14	11	16	22	9	22	7	15	0	0	0	16	16	16	13	0	15	10	19	6	0	13	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1827	2	0	0	0	1	0	1	0	0	0	8	0	0	5	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	1	0	2	0	0	1	0	5	0	0	0	3	0	4	2	3	0	0	0	0	0	0	5	5	3	0	4	0	3	0	2	0	5	5	0	3	5	2	5	2	2	0	0	7	1	4	0	3	17	5
hsa-miR-200a-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-33b-3p	1	1	1	0	1	0	1	0	0	0	3	2	3	0	0	0	1	0	0	2	0	1	3	0	3	0	0	0	0	0	2	2	2	0	0	4	1	1	0	0	0	0	2	1	2	0	0	0	0	6	0	1	1	0	1	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	3	1	0	0	2	0	0	0	0	0	1	0	0	2	0	1	0	0
hsa-miR-323a-3p	4	3	4	3	2	3	7	6	4	0	6	2	1	0	3	5	3	10	4	5	2	4	7	4	3	5	1	7	0	2	2	0	0	0	1	1	2	2	0	0	0	1	1	2	7	0	5	3	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-143-3p	3	15	10	7	4	8	15	9	1	5	1	13	5	8	9	16	23	9	1	3	14	15	8	5	9	22	6	16	4	38	23	13	28	27	17	18	19	18	0	0	0	18	17	18	9	0	6	5	6	3	0	5	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-98-5p	2	15	13	7	7	9	4	6	4	6	2	11	5	6	9	6	11	4	3	0	5	6	15	7	1	4	6	4	5	18	8	4	8	7	7	4	3	1	3	9	1	4	6	3	2	5	3	6	5	7	3	10	1	1	1	4	4	1	1	4	1	2	2	1	3	1	5	7	7	10	2	1	0	0	5	3	5	6	4	3	10	5	2	3	2	11	7	15
hsa-miR-376a-3p	8	4	17	5	2	5	3	11	6	4	14	7	8	8	6	6	14	12	8	1	5	13	6	8	10	5	17	7	19	6	16	7	8	8	5	10	1	6	0	0	0	5	11	2	8	0	6	3	9	7	0	17	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6826-5p	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
hsa-miR-1291	2	0	1	1	2	0	3	0	0	2	1	0	1	1	0	0	3	4	0	2	0	4	4	1	1	6	2	0	0	5	0	0	6	1	6	7	1	1	1	3	8	10	1	1	1	2	0	5	0	0	0	6	0	1	2	4	0	3	2	1	2	0	1	2	3	1	4	4	1	1	0	4	0	5	3	10	4	1	4	4	3	9	3	2	3	4	3	4
hsa-miR-6073	5	10	3	9	8	5	11	19	2	2	15	11	8	6	8	7	14	8	10	4	24	3	10	4	17	22	10	9	2	9	19	19	18	27	36	12	4	5	33	60	43	7	9	10	8	76	9	8	4	5	28	19	25	9	63	14	89	90	74	44	13	31	3	68	66	12	130	90	77	6	8	48	5	28	13	72	20	63	65	8	8	44	15	8	11	7	25	55
hsa-miR-325	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-1292-5p	4	1	3	1	1	1	0	5	1	1	1	4	1	2	2	2	4	0	1	0	3	2	1	2	3	4	1	4	7	3	2	3	1	1	2	3	0	9	2	1	0	2	0	7	2	4	2	5	3	5	1	2	2	2	2	6	3	5	0	3	3	2	6	4	3	1	8	3	2	17	1	11	2	1	6	2	4	1	3	6	15	3	13	5	15	15	12	2
hsa-miR-369-5p	24	21	28	23	25	32	22	27	18	23	17	10	17	11	22	11	67	21	13	20	10	41	38	27	26	29	24	20	33	22	15	13	20	14	7	18	16	24	0	0	0	19	27	31	30	0	34	35	19	28	0	26	0	0	0	24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-369-3p	1	2	9	2	1	4	0	0	1	1	3	1	4	1	1	2	10	1	8	3	6	1	1	8	4	5	4	0	2	3	2	1	1	0	0	0	0	4	0	0	0	2	3	1	2	0	4	1	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4731-5p	2	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	1	3	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-133a-3p	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	1	0	1	1	3	0	1	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-3p	5	15	13	4	1	1	2	2	7	7	3	1	7	2	13	14	7	5	3	4	5	4	9	14	4	4	12	2	5	4	9	9	15	7	7	6	0	2	2	1	2	4	4	11	7	0	7	3	9	4	1	13	0	0	9	4	3	3	5	0	0	1	0	0	0	1	8	0	0	3	4	5	0	0	3	0	0	1	7	1	2	2	3	4	0	5	3	3
hsa-miR-296-3p	1	8	2	1	2	7	1	6	1	2	2	8	2	3	2	6	9	0	6	4	6	0	7	3	1	4	7	4	8	11	5	8	3	8	3	13	4	8	0	0	1	3	4	2	4	0	10	2	5	3	0	3	0	0	4	3	0	0	0	1	1	0	0	1	0	0	1	6	0	2	0	2	0	0	2	0	0	0	0	0	1	0	2	0	0	4	4	0
hsa-miR-1226-3p	1	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	2	0	2	0	1	0	0	3	0	1	0	1	0	0	3	1	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1
hsa-miR-19b-3p	17	18	26	18	10	21	12	21	12	5	25	13	15	10	14	5	6	24	16	20	13	7	14	15	16	15	18	29	16	22	32	16	14	25	4	15	8	11	1	5	1	18	13	20	43	19	2	16	36	3	3	5	1	4	7	12	6	8	6	13	1	1	0	3	9	0	15	9	9	6	1	15	3	3	4	4	7	2	13	12	9	1	8	4	14	7	6	5
hsa-miR-508-5p	7	0	6	2	1	1	6	5	12	4	1	0	3	0	1	1	9	3	2	4	3	3	1	3	3	1	5	3	0	1	6	2	7	3	5	0	2	1	0	0	4	8	12	5	1	1	0	6	2	3	0	0	0	1	2	1	1	0	6	2	0	0	1	0	2	0	2	1	0	2	8	5	0	1	1	2	0	0	2	0	1	0	3	6	4	1	3	2
hsa-miR-508-3p	12	11	19	21	10	28	10	16	16	21	9	11	4	7	5	10	20	24	4	23	8	14	11	36	15	8	25	9	11	19	21	16	22	31	12	21	13	16	3	12	7	15	18	23	12	15	6	2	14	13	6	9	2	5	13	10	12	17	1	12	11	13	3	9	6	11	12	16	21	15	12	24	4	6	5	8	4	7	18	6	16	5	13	11	15	27	17	25
hsa-miR-505-3p	3	7	10	10	3	6	1	6	4	5	5	4	2	6	7	3	7	2	10	1	0	6	13	7	2	8	6	6	9	10	4	4	5	11	3	12	1	4	1	0	3	10	11	9	7	5	7	15	8	3	4	7	0	0	1	4	0	2	0	2	3	0	2	1	3	0	0	4	1	6	0	3	0	1	2	0	4	0	2	2	6	0	7	0	10	2	1	0
